Task_name,Participant #,Runtime_mod,Movie_time,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3
Movie Task-summer,subject005,-8,149.7524970000377,7.899999999999992,9.600000000000001,3.400000000000013,7.499999999999992,4.0,8.300000000000002,3.700000000000006,7.199999999999999,6.0,8.0,7.700000000000008,5.599999999999998,4.0,9.0,8.39999999999999,8.79999999999999,0,0,0
Movie Task-summer,subject005,-8,129.10245929996017,6.0,9.0,3.6000000000000023,6.7999999999999945,8.999999999999986,7.999999999999991,3.7000000000000006,3.900000000000017,3.600000000000006,6.0,9.200000000000003,5.000000000000007,8.400000000000002,9.0,7.5999999999999925,7.199999999999992,0,0,0
Movie Task-summer,subject005,-8,99.62773459998425,8.0,10.0,2.0,6.0,7.0,9.0,4.0,3.6000000000000014,6.299999999999997,6.0,8.49999999999999,8.600000000000001,10.0,8.29999999999999,4.0,5.199999999999999,0,0,0
Movie Task-summer,subject005,-8,4.779659499996342,2.0,3.8000000000000025,3.3999999999999986,5.0,2.0,8.100000000000003,7.0000000000000036,7.20000000000001,7.499999999999992,3.0,7.499999999999991,4.299999999999999,10.0,6.299999999999998,3.7000000000000024,3.0,0,0,0
Movie Task-c4,subject005,12,119.82819699996617,9.099999999999989,3.0,3.000000000000009,2.699999999999999,4.0,7.9000000000000075,4.000000000000006,8.59999999999999,8.499999999999988,9.0,7.699999999999992,4.10000000000001,2.7000000000000015,6.700000000000001,3.0999999999999983,5.10000000000001,0,0,0
Movie Task-c4,subject005,12,113.5568171000341,6.0,2.800000000000005,3.1000000000000054,8.0,1.1999999999999993,6.300000000000013,2.7000000000000015,7.3999999999999915,7.3999999999999915,4.400000000000002,9.0,6.500000000000012,7.000000000000011,5.000000000000002,9.0,7.30000000000001,0,0,0
Movie Task-c4,subject005,12,128.81820860004518,7.599999999999991,5.300000000000002,4.400000000000007,3.400000000000002,3.4999999999999987,4.199999999999999,3.3999999999999986,9.0,6.4999999999999964,6.900000000000004,5.500000000000005,3.0,4.200000000000006,2.8000000000000016,3.0,5.699999999999999,0,0,0
Movie Task-c4,subject005,12,142.59617190004792,7.69999999999999,4.8000000000000105,5.100000000000007,7.0,6.900000000000011,2.0,2.4000000000000004,6.599999999999995,7.299999999999995,2.7000000000000006,2.0,3.0,6.600000000000012,7.0,2.0,2.0,0,0,0
Movie Task-c4,subject005,12,157.69174549996387,10.0,2.9999999999999982,3.0,2.0,3.700000000000006,3.1000000000000054,1.0,9.0,8.999999999999986,2.0,7.0,2.499999999999998,3.200000000000009,7.799999999999997,5.0,4.0,0,0,0
Movie Task-c4,subject005,12,4.2760053999954835,8.899999999999988,3.1999999999999984,3.0,3.0,2.0,3.5000000000000058,2.0,8.599999999999989,8.0,6.2000000000000135,2.0,3.4000000000000057,3.9000000000000026,4.400000000000007,4.000000000000003,2.900000000000001,0,0,0
Movie Task-lms,subject005,9,175.24220239999704,2.799999999999998,2.499999999999998,3.9000000000000132,3.0,7.800000000000008,5.500000000000012,2.2999999999999976,1.4000000000000001,3.7000000000000166,2.4999999999999996,3.800000000000006,4.000000000000003,3.0000000000000124,4.900000000000002,2.0,2.2999999999999985,0,0,0
Movie Task-lms,subject005,9,112.30580139998347,3.5000000000000093,3.700000000000006,2.3999999999999977,3.0,3.1999999999999984,1.9999999999999982,2.099999999999999,3.2000000000000055,5.700000000000015,2.1999999999999975,3.100000000000001,3.2999999999999994,3.900000000000006,2.999999999999999,2.699999999999999,3.0,0,0,0
Movie Task-lms,subject005,9,100.94643889996223,7.399999999999995,5.700000000000012,7.599999999999994,4.9,3.0,3.0,5.999999999999998,4.0,7.699999999999994,3.4999999999999987,5.20000000000001,3.2999999999999994,4.0,3.999999999999999,5.100000000000007,4.299999999999999,0,0,0
Movie Task-lms,subject005,9,146.6497723000357,7.499999999999992,4.199999999999999,3.300000000000001,2.799999999999999,2.2999999999999994,3.999999999999999,5.500000000000002,6.000000000000007,7.399999999999994,3.0,7.800000000000004,5.200000000000003,4.200000000000006,6.799999999999994,6.100000000000014,3.999999999999999,0,0,0
