METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
1721594,13,7,4,subject069
Time after setup,20.893896499997936
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,52.51056709990371
Movie Task Start,52.51060459995642,,,,Movie Task,1,13,,,
Movie Init,93.0484032999957,,,,Movie Task,1,13,,,
Movie Start,93.0580190999899,,,,Movie Task,1,13,,lms.mp4,
ESQ,285.25608839991037,,Future_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,293.0071704000002,,Future_response,1.4999999999999993,Movie Task,1,13,,Marker Started at 3,Movie Task-lms
ESQ,293.00886119995266,,Knowledge_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,304.71665749989916,,Knowledge_response,2.099999999999997,Movie Task,1,13,,Marker Started at 5,Movie Task-lms
ESQ,304.7174526999006,,Focus_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,319.7616910999641,,Focus_response,1.0,Movie Task,1,13,,Marker Started at 4,Movie Task-lms
ESQ,319.7631954998942,,Distracting_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,325.6345898999134,,Distracting_response,1.0,Movie Task,1,13,,Marker Started at 7,Movie Task-lms
ESQ,325.6359994999366,,Problem_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,333.2748738999944,,Problem_response,7.399999999999999,Movie Task,1,13,,Marker Started at 7,Movie Task-lms
ESQ,333.27662149991374,,Words_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,343.07968139997683,,Words_response,7.0000000000000036,Movie Task,1,13,,Marker Started at 8,Movie Task-lms
ESQ,343.08143679995555,,Self_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,346.8668039999902,,Self_response,1.0,Movie Task,1,13,,Marker Started at 3,Movie Task-lms
ESQ,346.86727219994646,,Absorption_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,356.3748046999099,,Absorption_response,3.600000000000006,Movie Task,1,13,,Marker Started at 7,Movie Task-lms
ESQ,356.37659149989486,,Sounds_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,362.0628355999943,,Sounds_response,1.0,Movie Task,1,13,,Marker Started at 9,Movie Task-lms
ESQ,362.06487779994495,,Emotion_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,374.2718133999733,,Emotion_response,5.000000000000003,Movie Task,1,13,,Marker Started at 2,Movie Task-lms
ESQ,374.27355379995424,,Past_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,379.49272159999236,,Past_response,1.0,Movie Task,1,13,,Marker Started at 9,Movie Task-lms
ESQ,379.4944872999331,,Deliberate_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,385.1802578999195,,Deliberate_response,8.599999999999989,Movie Task,1,13,,Marker Started at 4,Movie Task-lms
ESQ,385.1808271999471,,Images_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,390.2848969999468,,Images_response,1.0,Movie Task,1,13,,Marker Started at 5,Movie Task-lms
ESQ,390.2853923999937,,Intrusive_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,394.12133209989406,,Intrusive_response,1.0,Movie Task,1,13,,Marker Started at 3,Movie Task-lms
ESQ,394.12278699991293,,Other_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,399.95977590000257,,Other_response,1.0,Movie Task,1,13,,Marker Started at 7,Movie Task-lms
ESQ,399.9603897999041,,Detailed_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,406.74746739992406,,Detailed_response,2.3999999999999986,Movie Task,1,13,,Marker Started at 4,Movie Task-lms
Movie prompt 1 lms.mp4,406.7652670999523,,,,Movie Task,1,13,,0,
ESQ,521.4177564999554,,Detailed_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,527.5597935999976,,Detailed_response,6.399999999999997,Movie Task,1,13,,Marker Started at 3,Movie Task-lms
ESQ,527.5614301000023,,Distracting_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,533.0487624999369,,Distracting_response,5.9,Movie Task,1,13,,Marker Started at 6,Movie Task-lms
ESQ,533.0506066998933,,Images_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,536.9201445999788,,Images_response,2.9000000000000123,Movie Task,1,13,,Marker Started at 9,Movie Task-lms
ESQ,536.9217901999364,,Emotion_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,543.6069857999682,,Emotion_response,4.700000000000003,Movie Task,1,13,,Marker Started at 6,Movie Task-lms
ESQ,543.6075887999032,,Self_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,550.7970612999052,,Self_response,6.699999999999995,Movie Task,1,13,,Marker Started at 4,Movie Task-lms
ESQ,550.7986984999152,,Absorption_start,,Movie Task,1,13,,,Movie Task-lms
