METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
9409934,2,1,0,04
Time after setup,10.66152449999936
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
ESQ,87.66947340004845,,Future_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,90.1174400000018,,Future_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test1
ESQ,90.11941879999358,,Knowledge_start,,Movie Task,1,2,,,Movie Task-test1
ESQ,94.05146400001831,,Knowledge_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test1
Movie prompt 2 test1.mp4,94.08385819999967,,,,Movie Task,1,2,,0,
EXPERIMENT DATA:,Movie Task
Start Time,102.34734949999256
Movie Task Start,102.34745560004376,,,,Movie Task,1,2,,,
Movie Init,105.15984880004544,,,,Movie Task,1,2,,,
Movie Start,105.16265340003883,,,,Movie Task,1,2,,test2.mp4,
ESQ,112.14466079999693,,Distracting_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,114.4029021000024,,Distracting_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test2
ESQ,114.40501109999605,,Focus_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,115.8371636000229,,Focus_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test2
ESQ,115.8394510000362,,Absorption_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,117.28607730002841,,Absorption_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test2
ESQ,117.28885200002696,,Detailed_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,120.03635800001211,,Detailed_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test2
ESQ,120.03951130004134,,Future_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,121.60429240000667,,Future_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test2
