METADATA:,,,,,,,,,,
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject,,,,,,
3162845,4,8,16,subject004,,,,,,
Time after setup,21.089397,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 ,,,,,,,,,,
Runtime Mod,-10,,,,,,,,,
EXPERIMENT DATA:,Movie Task,,,,,,,,,
ESQ,853.8352279,,Focus_response,1.1,Movie Task,1,4,,Marker Started at 4,Movie Task-lms
ESQ,859.422253,,Emotion_response,5.2,Movie Task,1,4,,Marker Started at 5,Movie Task-lms
ESQ,864.5272318,,Future_response,1,Movie Task,1,4,,Marker Started at 10,Movie Task-lms
ESQ,869.614234,,Problem_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-lms
ESQ,878.387849,,Words_response,3.3,Movie Task,1,4,,Marker Started at 3,Movie Task-lms
ESQ,882.2072256,,Deliberate_response,1,Movie Task,1,4,,Marker Started at 8,Movie Task-lms
ESQ,886.0612305,,Images_response,2.5,Movie Task,1,4,,Marker Started at 10,Movie Task-lms
ESQ,889.7812345,,Other_response,1.8,Movie Task,1,4,,Marker Started at 4,Movie Task-lms
ESQ,894.2012234,,Sounds_response,7,Movie Task,1,4,,Marker Started at 5,Movie Task-lms
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,894.2181124,,,,,,,,,
ESQ,1007.924149,,Problem_response,1,Movie Task,1,4,,Marker Started at 7,Movie Task-lms
ESQ,1011.027113,,Images_response,5,Movie Task,1,4,,Marker Started at 5,Movie Task-lms
ESQ,1014.129129,,Intrusive_response,1,Movie Task,1,4,,Marker Started at 3,Movie Task-lms
ESQ,1019.817134,,Deliberate_response,6.3,Movie Task,1,4,,Marker Started at 6,Movie Task-lms
ESQ,1023.187132,,Past_response,1,Movie Task,1,4,,Marker Started at 2,Movie Task-lms
ESQ,1026.356137,,Self_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-lms
ESQ,1032.244133,,Emotion_response,5.3,Movie Task,1,4,,Marker Started at 4,Movie Task-lms
ESQ,1036.482136,,Focus_response,1,Movie Task,1,4,,Marker Started at 4,Movie Task-lms
ESQ,1039.866137,,Detailed_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-lms
ESQ,1042.936122,,Future_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-lms
ESQ,1047.140151,,Other_response,2.2,Movie Task,1,4,,Marker Started at 3,Movie Task-lms
ESQ,1050.308115,,Sounds_response,5.7,Movie Task,1,4,,Marker Started at 5,Movie Task-lms
ESQ,1055.596125,,Words_response,8,Movie Task,1,4,,Marker Started at 2,Movie Task-lms
ESQ,1059.616131,,Knowledge_response,6.6,Movie Task,1,4,,Marker Started at 4,Movie Task-lms
ESQ,1063.969104,,Distracting_response,1.2,Movie Task,1,4,,Marker Started at 8,Movie Task-lms
ESQ,1069.039078,,Absorption_response,1,Movie Task,1,4,,Marker Started at 8,Movie Task-lms
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1069.057394,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1086.786867,,,,,,,,,
ESQ,1091.507096,,Deliberate_response,1,Experience Sampling Questions,1,4,,Marker Started at 3,Movie Task-Movie Task-lms
ESQ,1095.161107,,Focus_response,1,Experience Sampling Questions,1,4,,Marker Started at 10,Movie Task-Movie Task-lms
ESQ,1098.230105,,Sounds_response,6,Experience Sampling Questions,1,4,,Marker Started at 8,Movie Task-Movie Task-lms
ESQ,1100.765358,,Intrusive_response,1,Experience Sampling Questions,1,4,,Marker Started at 4,Movie Task-Movie Task-lms
ESQ,1109.222095,,Future_response,1,Experience Sampling Questions,1,4,,Marker Started at 4,Movie Task-Movie Task-lms
ESQ,1114.209079,,Problem_response,1.1,Experience Sampling Questions,1,4,,Marker Started at 9,Movie Task-Movie Task-lms
ESQ,1119.564046,,Detailed_response,1,Experience Sampling Questions,1,4,,Marker Started at 3,Movie Task-Movie Task-lms
ESQ,1124.251096,,Emotion_response,4.7,Experience Sampling Questions,1,4,,Marker Started at 6,Movie Task-Movie Task-lms
ESQ,1130.03807,,Absorption_response,1,Experience Sampling Questions,1,4,,Marker Started at 8,Movie Task-Movie Task-lms
ESQ,1137.777059,,Self_response,1,Experience Sampling Questions,1,4,,Marker Started at 6,Movie Task-Movie Task-lms
ESQ,1140.380054,,Past_response,1.2,Experience Sampling Questions,1,4,,Marker Started at 5,Movie Task-Movie Task-lms
ESQ,1143.216066,,Distracting_response,1,Experience Sampling Questions,1,4,,Marker Started at 6,Movie Task-Movie Task-lms
ESQ,1146.368056,,Images_response,1,Experience Sampling Questions,1,4,,Marker Started at 6,Movie Task-Movie Task-lms
ESQ,1153.958045,,Knowledge_response,5.9,Experience Sampling Questions,1,4,,Marker Started at 10,Movie Task-Movie Task-lms
ESQ,1157.343074,,Other_response,1,Experience Sampling Questions,1,4,,Marker Started at 4,Movie Task-Movie Task-lms
ESQ,1163.064073,,Words_response,5.3,Experience Sampling Questions,1,4,,Marker Started at 3,Movie Task-Movie Task-lms
 ,,,,,,,,,,
Runtime Mod,-9,,,,,,,,,
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,1163.073274,,,,,,,,,
ESQ,1358.52129,,Focus_response,1.9,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1362.107279,,Images_response,6.3,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,1365.325385,,Sounds_response,6,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
