METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
7903824,1,1,13,subject068
Time after setup,21.725722100003622
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,62.0850581000559
Movie Task Start,62.08509980002418,,,,Movie Task,1,1,,,
Movie Init,88.66915470000822,,,,Movie Task,1,1,,,
Movie Start,88.68149560003076,,,,Movie Task,1,1,,lms.mp4,
ESQ,265.05805910006166,,Images_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,281.96567669999786,,Images_response,8.99999999999999,Movie Task,1,1,,Marker Started at 6,Movie Task-lms
ESQ,281.96626660006586,,Knowledge_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,289.2229108000174,,Knowledge_response,8.000000000000004,Movie Task,1,1,,Marker Started at 9,Movie Task-lms
ESQ,289.2235337999882,,Problem_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,299.0301024999935,,Problem_response,5.000000000000007,Movie Task,1,1,,Marker Started at 7,Movie Task-lms
ESQ,299.0315923000453,,Past_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,311.92347070004325,,Past_response,7.0000000000000036,Movie Task,1,1,,Marker Started at 8,Movie Task-lms
ESQ,311.9249294999754,,Other_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,317.6797590999631,,Other_response,7.9999999999999964,Movie Task,1,1,,Marker Started at 7,Movie Task-lms
ESQ,317.68047210003715,,Intrusive_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,332.0732804000145,,Intrusive_response,5.500000000000009,Movie Task,1,1,,Marker Started at 8,Movie Task-lms
ESQ,332.0748067999957,,Emotion_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,341.6466063000262,,Emotion_response,4.400000000000014,Movie Task,1,1,,Marker Started at 9,Movie Task-lms
ESQ,341.6482190999668,,Sounds_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,349.3859180000145,,Sounds_response,6.1,Movie Task,1,1,,Marker Started at 6,Movie Task-lms
ESQ,349.3874408999691,,Focus_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,366.1998568000272,,Focus_response,9.1,Movie Task,1,1,,Marker Started at 9,Movie Task-lms
ESQ,366.2013841000153,,Distracting_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,378.0587917000521,,Distracting_response,2.3999999999999995,Movie Task,1,1,,Marker Started at 3,Movie Task-lms
ESQ,378.0592835000716,,Deliberate_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,385.53289819997735,,Deliberate_response,3.1000000000000054,Movie Task,1,1,,Marker Started at 7,Movie Task-lms
ESQ,385.53469900006894,,Self_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,392.7201624000445,,Self_response,8.09999999999999,Movie Task,1,1,,Marker Started at 3,Movie Task-lms
ESQ,392.720787200029,,Detailed_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,398.5408599000657,,Detailed_response,5.3,Movie Task,1,1,,Marker Started at 4,Movie Task-lms
ESQ,398.542365900008,,Future_start,,Movie Task,1,1,,,Movie Task-lms
ESQ,409.2337767999852,,Future_response,5.000000000000001,Movie Task,1,1,,Marker Started at 4,Movie Task-lms
ESQ,409.23486279998906,,Absorption_start,,Movie Task,1,1,,,Movie Task-lms
