METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
9409934,2,1,0,04
Time after setup,10.661555400001816
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-9
EXPERIMENT DATA:,Movie Task
ESQ,152.8555792000261,,Words_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test2
ESQ,154.48947299999418,,Knowledge_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test2
ESQ,155.55564890004462,,Distracting_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test2
ESQ,156.90536140004406,,Detailed_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test2
ESQ,158.2771360000479,,Other_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test2
ESQ,161.62364320002962,,Emotion_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test2
ESQ,165.2910697000334,,Intrusive_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test2
ESQ,166.74136640003417,,Self_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test2
ESQ,168.22390060004545,,Past_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test2
ESQ,169.6079670000472,,Absorption_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test2
ESQ,171.0244033000199,,Deliberate_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test2
ESQ,172.57391080004163,,Images_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test2
ESQ,174.00787000003038,,Focus_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test2
 
Runtime Mod,6
EXPERIMENT DATA:,Movie Task
Start Time,186.39914610004053
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,191.61169049999444,,,,,,,,,
ESQ,198.7090262999991,,Knowledge_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test3
ESQ,200.1433057000395,,Sounds_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test3
ESQ,201.59402150003007,,Images_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
ESQ,203.19403150002472,,Problem_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test3
ESQ,204.7101986000198,,Intrusive_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test3
ESQ,206.2937623000471,,Focus_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,208.91051800001878,,Self_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test3
ESQ,210.42950630001724,,Words_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,212.0281787000131,,Distracting_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test3
ESQ,214.27835189999314,,Emotion_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test3
ESQ,216.31553090002853,,Past_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,217.91067090001889,,Future_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test3
ESQ,219.5667117999983,,Absorption_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
ESQ,221.87739750003675,,Deliberate_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test3
ESQ,223.39523300004657,,Detailed_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test3
ESQ,224.94535009999527,,Other_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,229.34822220000206,,,,,,,,,
ESQ,233.94620430003852,,Problem_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test3
ESQ,235.4801389000495,,Other_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test3
ESQ,236.7806236000033,,Focus_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test3
ESQ,237.91312760004075,,Future_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test3
ESQ,239.22959810000611,,Self_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,240.76318970002467,,Sounds_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test3
ESQ,241.94642590003787,,Past_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
ESQ,243.3482635000255,,Emotion_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test3
ESQ,245.91434650000883,,Deliberate_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test3
ESQ,247.3640435000416,,Intrusive_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test3
ESQ,248.68146270001307,,Distracting_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
ESQ,249.96433730004355,,Absorption_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,251.48162979999324,,Images_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test3
ESQ,252.89939390000654,,Detailed_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test3
ESQ,254.53333210002165,,Words_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test3
ESQ,255.96468910004478,,Knowledge_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
