METADATA:
Experiment Seed,Subject
6180798,Enter Name Here
Time after setup,2.4225821999134496
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,13.337777499924414
Movie Task Start,13.337879099999554,,,,Movie Task,1,Enter Name Here,,,
Movie Init,14.858194299973547,,,,Movie Task,1,Enter Name Here,,,
Movie Start,14.858255699975416,,,,Movie Task,1,Enter Name Here,,gump.mp4,
