METADATA:,,,,,,,,,,
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject,,,,,,
6602031,0,0,1,Subject050,,,,,,
Time after setup,29.5895552,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task,,,,,,,,,
ESQ,726.8153812,,Knowledge_response,10,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
Movie prompt 2 c4.mp4,726.832677,,,,Movie Task,1,0,,0,
ESQ,843.4547494,,Sounds_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,852.1486907,,Sounds_response,1,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
ESQ,852.1494458,,Emotion_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,860.9224376,,Emotion_response,2.8,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,860.9231883,,Focus_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,871.8971982,,Focus_response,2.8,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,871.8978727,,Detailed_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,878.2028856,,Detailed_response,3.3,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,878.2036431,,Other_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,883.2230184,,Other_response,9,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,883.223798,,Knowledge_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,896.4672591,,Knowledge_response,7.3,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,896.4679387,,Past_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,906.7091427,,Past_response,7.1,Movie Task,1,0,,Marker Started at 10,Movie Task-c4
ESQ,906.7098789,,Words_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,910.5619329,,Words_response,8,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,910.5623774,,Self_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,916.4501279,,Self_response,1,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,916.4509274,,Problem_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,923.9053929,,Problem_response,6.2,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,923.9061441,,Distracting_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,932.5472197,,Distracting_response,4.2,Movie Task,1,0,,Marker Started at 10,Movie Task-c4
ESQ,932.5478974,,Intrusive_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,935.3654482,,Intrusive_response,1,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,935.3662084,,Future_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,951.8282387,,Future_response,1,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,951.8287279,,Images_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,957.1825539,,Images_response,7.8,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,957.1835825,,Absorption_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,963.4865246,,Absorption_response,2.9,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,963.487191,,Deliberate_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,970.5610271,,Deliberate_response,1,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
Movie prompt 3 c4.mp4,970.5767582,,,,Movie Task,1,0,,0,
ESQ,1080.729047,,Words_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1091.372921,,Words_response,4,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,1091.373721,,Emotion_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1101.81448,,Emotion_response,3.4,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,1101.815205,,Images_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1106.501447,,Images_response,9,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,1106.502115,,Focus_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1111.455673,,Focus_response,3.2,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,1111.456413,,Self_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1122.113558,,Self_response,7.7,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,1122.114056,,Future_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1127.067342,,Future_response,1,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,1127.068032,,Intrusive_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1130.989725,,Intrusive_response,1,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,1130.990439,,Other_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1135.158995,,Other_response,8.8,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,1135.159663,,Problem_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1144.665508,,Problem_response,2.8,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,1144.666248,,Sounds_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1152.021129,,Sounds_response,7.5,Movie Task,1,0,,Marker Started at 10,Movie Task-c4
ESQ,1152.021857,,Absorption_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1159.477374,,Absorption_response,6.4,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,1159.478158,,Distracting_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1164.04708,,Distracting_response,6.2,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,1164.047818,,Past_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1168.166115,,Past_response,10,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,1168.166605,,Knowledge_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1173.339353,,Knowledge_response,9.2,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,1173.340037,,Deliberate_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1177.390813,,Deliberate_response,3.9,Movie Task,1,0,,Marker Started at 5,Movie Task-c4
ESQ,1177.391604,,Detailed_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1181.662977,,Detailed_response,1.1,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
Movie prompt 4 c4.mp4,1181.678716,,,,Movie Task,1,0,,0,
ESQ,1322.503592,,Deliberate_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1338.503325,,Deliberate_response,5.3,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,1338.504214,,Detailed_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1349.912528,,Detailed_response,7.5,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
ESQ,1349.913179,,Emotion_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1353.165703,,Emotion_response,2.2,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,1353.166417,,Past_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1358.153417,,Past_response,9.6,Movie Task,1,0,,Marker Started at 6,Movie Task-c4
ESQ,1358.154117,,Images_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1362.20562,,Images_response,10,Movie Task,1,0,,Marker Started at 10,Movie Task-c4
ESQ,1362.206305,,Self_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1366.091305,,Self_response,7.8,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,1366.091968,,Intrusive_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1369.745643,,Intrusive_response,1,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
ESQ,1369.746453,,Other_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1373.664583,,Other_response,9.5,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,1373.665246,,Knowledge_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1377.050702,,Knowledge_response,9.5,Movie Task,1,0,,Marker Started at 3,Movie Task-c4
ESQ,1377.051429,,Focus_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1381.520875,,Focus_response,2.6,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,1381.521491,,Sounds_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1386.091099,,Sounds_response,1,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,1386.091761,,Absorption_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1391.045629,,Absorption_response,5.2,Movie Task,1,0,,Marker Started at 2,Movie Task-c4
ESQ,1391.047228,,Distracting_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1397.567695,,Distracting_response,3.9,Movie Task,1,0,,Marker Started at 9,Movie Task-c4
ESQ,1397.568234,,Problem_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1403.839072,,Problem_response,7.2,Movie Task,1,0,,Marker Started at 4,Movie Task-c4
ESQ,1403.839738,,Words_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1407.775687,,Words_response,9.4,Movie Task,1,0,,Marker Started at 7,Movie Task-c4
ESQ,1407.7765,,Future_start,,Movie Task,1,0,,,Movie Task-c4
ESQ,1413.629653,,Future_response,6,Movie Task,1,0,,Marker Started at 8,Movie Task-c4
Movie prompt 5 c4.mp4,1413.646685,,,,Movie Task,1,0,,0,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1506.444011,,,,,,,,,
ESQ,1508.770474,,Images_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1519.697609,,Images_response,8.3,Experience Sampling Questions,1,0,,Marker Started at 10,Movie Task-Movie Task-c4
ESQ,1519.698295,,Past_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1525.170005,,Past_response,8.9,Experience Sampling Questions,1,0,,Marker Started at 2,Movie Task-Movie Task-c4
ESQ,1525.170714,,Focus_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1531.655854,,Focus_response,1.8,Experience Sampling Questions,1,0,,Marker Started at 7,Movie Task-Movie Task-c4
ESQ,1531.656525,,Deliberate_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1538.595754,,Deliberate_response,5.7,Experience Sampling Questions,1,0,,Marker Started at 3,Movie Task-Movie Task-c4
ESQ,1538.596484,,Detailed_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1543.051029,,Detailed_response,6.5,Experience Sampling Questions,1,0,,Marker Started at 9,Movie Task-Movie Task-c4
ESQ,1543.051804,,Self_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1551.255712,,Self_response,3,Experience Sampling Questions,1,0,,Marker Started at 7,Movie Task-Movie Task-c4
ESQ,1551.256431,,Emotion_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1554.125755,,Emotion_response,2,Experience Sampling Questions,1,0,,Marker Started at 3,Movie Task-Movie Task-c4
ESQ,1554.126686,,Sounds_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1557.429041,,Sounds_response,1.3,Experience Sampling Questions,1,0,,Marker Started at 6,Movie Task-Movie Task-c4
ESQ,1557.42972,,Knowledge_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1565.115924,,Knowledge_response,8.5,Experience Sampling Questions,1,0,,Marker Started at 3,Movie Task-Movie Task-c4
ESQ,1565.116833,,Other_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1567.686642,,Other_response,8.6,Experience Sampling Questions,1,0,,Marker Started at 8,Movie Task-Movie Task-c4
ESQ,1567.687285,,Distracting_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1571.271622,,Distracting_response,2.6,Experience Sampling Questions,1,0,,Marker Started at 6,Movie Task-Movie Task-c4
ESQ,1571.272342,,Problem_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1577.977511,,Problem_response,3.5,Experience Sampling Questions,1,0,,Marker Started at 8,Movie Task-Movie Task-c4
ESQ,1577.978176,,Future_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1583.633581,,Future_response,3.2,Experience Sampling Questions,1,0,,Marker Started at 5,Movie Task-Movie Task-c4
ESQ,1583.634279,,Intrusive_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1585.983383,,Intrusive_response,1,Experience Sampling Questions,1,0,,Marker Started at 2,Movie Task-Movie Task-c4
ESQ,1585.984009,,Absorption_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1590.886274,,Absorption_response,6.7,Experience Sampling Questions,1,0,,Marker Started at 7,Movie Task-Movie Task-c4
ESQ,1590.886992,,Words_start,,Experience Sampling Questions,1,0,,,Movie Task-Movie Task-c4
ESQ,1593.690057,,Words_response,8,Experience Sampling Questions,1,0,,Marker Started at 8,Movie Task-Movie Task-c4
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,1593.700875,,,,,,,,,
Movie Task Start,1593.700908,,,,Movie Task,1,0,,,
Movie Init,1605.375099,,,,Movie Task,1,0,,,
Movie Start,1605.376962,,,,Movie Task,1,0,,summer.mp4,
ESQ,1775.813278,,Images_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1781.322799,,Images_response,2.5,Movie Task,1,0,,Marker Started at 7,Movie Task-summer
ESQ,1781.323493,,Problem_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1785.793339,,Problem_response,1.9,Movie Task,1,0,,Marker Started at 5,Movie Task-summer
ESQ,1785.79412,,Self_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1789.831142,,Self_response,1.7,Movie Task,1,0,,Marker Started at 9,Movie Task-summer
ESQ,1789.831885,,Deliberate_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1793.432049,,Deliberate_response,2,Movie Task,1,0,,Marker Started at 2,Movie Task-summer
ESQ,1793.432753,,Future_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1796.651887,,Future_response,2,Movie Task,1,0,,Marker Started at 2,Movie Task-summer
ESQ,1796.652687,,Intrusive_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1799.837582,,Intrusive_response,1,Movie Task,1,0,,Marker Started at 7,Movie Task-summer
ESQ,1799.838275,,Absorption_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1803.956663,,Absorption_response,1,Movie Task,1,0,,Marker Started at 7,Movie Task-summer
ESQ,1803.95738,,Emotion_start,,Movie Task,1,0,,,Movie Task-summer
