METADATA:,,,,,,,,,,
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject,,,,,,
6578717,5,1,10,Subject051,,,,,,
Time after setup,34.093163,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,80.1318738,,,,,,,,,
Movie Task Start,80.1319135,,,,Movie Task,1,5,,,
Movie Init,108.1740543,,,,Movie Task,1,5,,,
Movie Start,108.182835,,,,Movie Task,1,5,,summer.mp4,
ESQ,245.6362024,,Knowledge_start,,Movie Task,1,5,,,Movie Task-summer
ESQ,255.5759635,,Knowledge_response,1,Movie Task,1,5,,Marker Started at 6,Movie Task-summer
ESQ,255.5776991,,Past_start,,Movie Task,1,5,,,Movie Task-summer
ESQ,262.9309145,,Past_response,10,Movie Task,1,5,,Marker Started at 7,Movie Task-summer
ESQ,262.9324793,,Sounds_start,,Movie Task,1,5,,,Movie Task-summer
ESQ,269.1530559,,Sounds_response,6.8,Movie Task,1,5,,Marker Started at 10,Movie Task-summer
ESQ,269.153737,,Intrusive_start,,Movie Task,1,5,,,Movie Task-summer
ESQ,279.4953047,,Intrusive_response,4.8,Movie Task,1,5,,Marker Started at 8,Movie Task-summer
ESQ,279.4969139,,Distracting_start,,Movie Task,1,5,,,Movie Task-summer
ESQ,282.8976874,,Distracting_response,8,Movie Task,1,5,,Marker Started at 8,Movie Task-summer
ESQ,282.8986789,,Words_start,,Movie Task,1,5,,,Movie Task-summer
ESQ,290.2872018,,Words_response,5.2,Movie Task,1,5,,Marker Started at 9,Movie Task-summer
ESQ,290.2883348,,Self_start,,Movie Task,1,5,,,Movie Task-summer
ESQ,295.6742268,,Self_response,1.5,Movie Task,1,5,,Marker Started at 4,Movie Task-summer
ESQ,295.6754676,,Future_start,,Movie Task,1,5,,,Movie Task-summer
ESQ,301.7616075,,Future_response,7.5,Movie Task,1,5,,Marker Started at 6,Movie Task-summer
ESQ,301.7629416,,Deliberate_start,,Movie Task,1,5,,,Movie Task-summer
ESQ,312.6543665,,Deliberate_response,2.6,Movie Task,1,5,,Marker Started at 6,Movie Task-summer
