METADATA:
Experiment Seed,Subject
4133820,Enter Name Here
Time after setup,1.1109694999177009
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,4.839270799886435
Movie Task Start,4.839362599886954,,,,Movie Task,1,Enter Name Here,,,
Movie Init,5.9635645999806,,,,Movie Task,1,Enter Name Here,,,
Movie Start,5.963626499986276,,,,Movie Task,1,Enter Name Here,,gump.mp4,
