METADATA:
Experiment Seed,Subject
3046942,Enter Name Here
Time after setup,1.4288752999855205
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,4.889668799936771
Movie Task Start,4.889747599954717,,,,Movie Task,1,Enter Name Here,,,
Movie Init,5.413029899937101,,,,Movie Task,1,Enter Name Here,,,
Movie Start,5.413089399924502,,,,Movie Task,1,Enter Name Here,,c4.mp4,
