METADATA:
Experiment Seed,Subject
7174657,17
Time after setup,7.283226899802685
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-9
EXPERIMENT DATA:,Movie Task
ESQ,565.3115268999245,,Absorption_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
ESQ,566.8286618997809,,Intrusive_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run1
ESQ,568.2447588997893,,Emotion_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run1
ESQ,569.5287814999465,,Knowledge_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run1
ESQ,570.9617708998267,,Images_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run1
ESQ,572.745545099955,,Other_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run1
ESQ,574.195453699911,,Deliberate_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run1
ESQ,575.6290342998691,,Future_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,577.0296287999954,,Focus_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,578.4955376998987,,Past_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run1
ESQ,580.3449796999339,,Self_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run1
ESQ,581.7787036998197,,Distracting_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,583.4958100998774,,Detailed_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run1
 
Runtime Mod,10
EXPERIMENT DATA:,Movie Task
Start Time,750.9084072997794
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,918.0428454999346,,,,,,,,,
ESQ,925.359097099863,,Past_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run2
ESQ,987.9814262997825,,Emotion_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,989.84666749998,,Focus_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,991.2310686998535,,Sounds_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,992.6148508999031,,Self_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,993.9319693997968,,Words_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,995.3315262999386,,Future_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,996.7321305999067,,Knowledge_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,998.1145556999836,,Images_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,999.4652010998689,,Other_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1001.665226199897,,Distracting_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1002.9990180998575,,Detailed_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run2
ESQ,1004.4002794998232,,Problem_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run2
ESQ,1005.7995058998931,,Absorption_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1007.3821266999003,,Intrusive_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1008.7658342998475,,Deliberate_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1095.8751689000055,,,,,,,,,
ESQ,1101.823743299814,,Focus_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1168.446378899971,,Absorption_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1169.8797122999094,,Other_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run2
ESQ,1171.380464799935,,Deliberate_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run2
ESQ,1172.8455523999874,,Distracting_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1174.2805752998684,,Emotion_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1175.697247199947,,Words_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1177.1307272999547,,Future_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1178.4968569998164,,Sounds_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run2
ESQ,1179.8972355998121,,Detailed_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1181.3133627998177,,Knowledge_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run2
ESQ,1184.3311102997977,,Self_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1189.049200499896,,Images_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1190.431405399926,,Past_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1193.8319368998054,,Intrusive_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1195.2318794999737,,Problem_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run2
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1380.4026415999979,,,,,,,,,
ESQ,1389.5316499997862,,Problem_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run2
ESQ,1390.9328490998596,,Future_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1392.5826441999525,,Intrusive_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1393.9995290997904,,Knowledge_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1395.3657707998063,,Words_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1396.6496402998455,,Emotion_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1398.133047199808,,Detailed_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1399.5164477999788,,Self_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run2
ESQ,1400.91680479981,,Past_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1402.6660434999503,,Deliberate_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1404.7667622999288,,Focus_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1406.2505065998994,,Sounds_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1407.7497630999424,,Absorption_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1409.93396569998,,Images_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1428.168514299905,,Other_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1429.5689075998962,,Distracting_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1534.6790157998912,,,,,,,,,
ESQ,1542.4611697997898,,Problem_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1543.8283958998509,,Self_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1545.244894299889,,Sounds_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1546.6291019998025,,Other_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1548.0447887999471,,Deliberate_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1549.729042199906,,Knowledge_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1551.1454814998433,,Images_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1552.562583899824,,Future_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1554.6956805000082,,Words_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1560.3133161999285,,Focus_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1563.662576999981,,Detailed_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1565.148478699848,,Emotion_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1574.3321605999954,,Distracting_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1575.748020999832,,Absorption_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1577.0641101999208,,Intrusive_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1578.448905199999,,Past_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
 
Runtime Mod,-15
EXPERIMENT DATA:,Movie Task
Start Time,1684.5811422998086
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1886.5592653998174,,,,,,,,,
ESQ,1894.5592192998156,,Detailed_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run3
ESQ,1895.9593018998858,,Problem_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run3
ESQ,1897.4094215999357,,Emotion_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run3
ESQ,1898.8102286998183,,Images_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run3
ESQ,1900.1924317998346,,Words_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run3
ESQ,1901.5097610999364,,Intrusive_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run3
ESQ,1902.8595251999795,,Absorption_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run3
ESQ,1904.2425197998527,,Deliberate_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run3
ESQ,1905.6596976998262,,Future_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,1907.2602899998892,,Past_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run3
ESQ,1908.6602999998722,,Distracting_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run3
ESQ,1910.0767037000041,,Sounds_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run3
ESQ,1912.6604915999342,,Other_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run3
ESQ,1914.377759899944,,Knowledge_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run3
ESQ,1915.826756999828,,Focus_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run3
ESQ,1917.2768520999234,,Self_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run3
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2064.224618999986,,,,,,,,,
ESQ,2074.940154899843,,Intrusive_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run3
ESQ,2076.290484600002,,Images_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run3
ESQ,2085.2245236998424,,Past_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,2086.7090661998373,,Sounds_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run3
ESQ,2088.1587313998025,,Self_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run3
ESQ,2089.5427384998184,,Words_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run3
ESQ,2091.0913283999544,,Focus_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run3
ESQ,2092.591579,,Emotion_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run3
ESQ,2094.2099151997827,,Deliberate_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run3
ESQ,2095.826117399847,,Future_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run3
ESQ,2097.4920105999336,,Absorption_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run3
ESQ,2099.1255512998905,,Problem_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run3
ESQ,2100.792452799855,,Distracting_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,2102.9294741998892,,Detailed_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,2104.5087504999246,,Knowledge_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run3
ESQ,2106.4087706999853,,Other_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run3
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2194.6364403998014,,,,,,,,,
ESQ,2201.9186449998524,,Knowledge_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run3
ESQ,2203.6516841999255,,Past_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run3
ESQ,2205.9848728999496,,Absorption_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run3
ESQ,2207.435621699784,,Emotion_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run3
ESQ,2211.1347251997795,,Self_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run3
ESQ,2212.6519054998644,,Sounds_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run3
ESQ,2214.0189811999444,,Problem_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run3
ESQ,2215.4846767999697,,Detailed_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run3
ESQ,2216.9850184000097,,Focus_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run3
ESQ,2218.420469699893,,Intrusive_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run3
ESQ,2219.8204542999156,,Future_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run3
ESQ,2221.2037487998605,,Other_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run3
ESQ,2223.8573431000113,,Words_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run3
ESQ,2225.302720299922,,Distracting_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run3
ESQ,2229.820126299979,,Deliberate_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,2231.270345899975,,Images_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run3
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2337.364738999866,,,,,,,,,
ESQ,2343.46346179978,,Images_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run3
ESQ,2344.8012498999014,,Emotion_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run3
ESQ,2346.046889499994,,Other_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,2347.395840499783,,Distracting_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run3
ESQ,2348.730742499931,,Focus_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,2350.1138540999964,,Detailed_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,2351.431958099827,,Past_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run3
ESQ,2352.6820574998856,,Deliberate_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,2354.0312221997883,,Absorption_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run3
ESQ,2358.748448899947,,Words_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run3
ESQ,2360.2649320999626,,Self_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run3
ESQ,2361.6989309999626,,Future_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run3
ESQ,2363.048530199798,,Sounds_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run3
ESQ,2364.5491452999413,,Problem_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run3
ESQ,2365.9493625999894,,Knowledge_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run3
ESQ,2367.299167799996,,Intrusive_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run3
