METADATA:
Experiment Seed,Subject
7174657,17
Time after setup,7.2832065999973565
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
ESQ,291.44185779988766,,Focus_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,292.8388207999524,,Focus_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,292.84100709995255,,Distracting_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,294.2714863999281,,Distracting_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,294.2737523999531,,Future_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,295.7220119999256,,Future_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run1
Movie prompt 2 run1.mp4,295.7550733999815,,,,Movie Task,ignore,17,,0,
ESQ,404.3748025998939,,Emotion_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,406.0140821998939,,Emotion_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run1
ESQ,406.0168800998945,,Problem_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,407.09660669998266,,Problem_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,407.1002053997945,,Future_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,409.89782879990526,,Future_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,409.9006542998832,,Distracting_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,411.29779719980434,,Distracting_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run1
ESQ,411.2997900999617,,Absorption_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,412.94941959995776,,Absorption_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
ESQ,412.9519797998946,,Knowledge_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,414.13165809982456,,Knowledge_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
ESQ,414.13547359989025,,Intrusive_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,415.4988886998035,,Intrusive_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run1
ESQ,415.50094389985316,,Other_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,416.84856429998763,,Other_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run1
ESQ,416.85131779988296,,Past_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,418.2316590999253,,Past_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run1
ESQ,418.23415309982374,,Images_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,419.58271589991637,,Images_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run1
ESQ,419.5850285999477,,Deliberate_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,421.4660930999089,,Deliberate_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
ESQ,421.48083989997394,,Detailed_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,423.89875659998506,,Detailed_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run1
ESQ,423.9001758999657,,Focus_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,425.23211929993704,,Focus_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run1
ESQ,425.23342119995505,,Sounds_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,428.50106839998625,,Sounds_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,428.50328199984506,,Self_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,429.9327954999171,,Self_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run1
ESQ,429.9350464998279,,Words_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,431.44986389996484,,Words_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
Movie prompt 3 run1.mp4,431.4887699999381,,,,Movie Task,ignore,17,,0,
ESQ,559.6125473999418,,Words_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,561.2434496998321,,Words_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,561.245893499814,,Problem_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,562.6783792998176,,Problem_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,562.6821108998265,,Sounds_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,563.9442958999425,,Sounds_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run1
ESQ,563.946359799942,,Absorption_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,565.3115268999245,,Absorption_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run1
ESQ,565.3138021999039,,Intrusive_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,566.8286618997809,,Intrusive_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run1
ESQ,566.8316301999148,,Emotion_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,568.2447588997893,,Emotion_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run1
ESQ,568.2465987999458,,Knowledge_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,569.5287814999465,,Knowledge_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run1
ESQ,569.5316980998032,,Images_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,570.9617708998267,,Images_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run1
ESQ,570.9639703999273,,Other_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,572.745545099955,,Other_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run1
ESQ,572.748159499839,,Deliberate_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,574.195453699911,,Deliberate_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run1
ESQ,574.1977227998432,,Future_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,575.6290342998691,,Future_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run1
ESQ,575.6312789998483,,Focus_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,577.0296287999954,,Focus_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,577.0317855998874,,Past_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,578.4955376998987,,Past_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run1
ESQ,578.4989049998112,,Self_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,580.3449796999339,,Self_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run1
ESQ,580.3475102998782,,Distracting_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,581.7787036998197,,Distracting_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run1
ESQ,581.7806568997912,,Detailed_start,,Movie Task,ignore,17,,,Movie Task-run1
ESQ,583.4958100998774,,Detailed_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run1
Movie prompt 4 run1.mp4,583.5373175998684,,,,Movie Task,ignore,17,,0,
EXPERIMENT DATA:,Movie Task
Start Time,750.9083656999283
Movie Task Start,750.9085362998303,,,,Movie Task,ignore,17,,,
Movie Init,770.9919366999529,,,,Movie Task,ignore,17,,,
Movie Start,770.9949876999017,,,,Movie Task,ignore,17,,run2.mp4,
ESQ,923.4617758998647,,Past_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,925.359097099863,,Past_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run2
ESQ,925.3619142998941,,Emotion_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,987.9814262997825,,Emotion_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,987.9841090999544,,Focus_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,989.84666749998,,Focus_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,989.849644199945,,Sounds_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,991.2310686998535,,Sounds_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,991.2334049998317,,Self_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,992.6148508999031,,Self_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,992.6176525999326,,Words_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,993.9319693997968,,Words_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,993.9341460999567,,Future_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,995.3315262999386,,Future_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,995.3345026997849,,Knowledge_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,996.7321305999067,,Knowledge_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,996.7342659998685,,Images_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,998.1145556999836,,Images_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,998.116754299961,,Other_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,999.4652010998689,,Other_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,999.46771909995,,Distracting_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1001.665226199897,,Distracting_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1001.6674680998549,,Detailed_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1002.9990180998575,,Detailed_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run2
ESQ,1003.0014941999689,,Problem_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1004.4002794998232,,Problem_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run2
ESQ,1004.402333999984,,Absorption_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1005.7995058998931,,Absorption_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1005.8014437998645,,Intrusive_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1007.3821266999003,,Intrusive_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1007.38446319988,,Deliberate_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1008.7658342998475,,Deliberate_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
Movie prompt 1 run2.mp4,1008.809380899882,,,,Movie Task,ignore,17,,0,
ESQ,1099.7032010999974,,Focus_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1101.823743299814,,Focus_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1101.826592499856,,Absorption_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1168.446378899971,,Absorption_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1168.449147499865,,Other_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1169.8797122999094,,Other_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run2
ESQ,1169.882057899842,,Deliberate_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1171.380464799935,,Deliberate_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run2
ESQ,1171.3847250998951,,Distracting_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1172.8455523999874,,Distracting_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1172.8478143999819,,Emotion_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1174.2805752998684,,Emotion_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1174.2832352998666,,Words_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1175.697247199947,,Words_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1175.7013050999958,,Future_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1177.1307272999547,,Future_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1177.1331357997842,,Sounds_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1178.4968569998164,,Sounds_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run2
ESQ,1178.4989996999502,,Detailed_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1179.8972355998121,,Detailed_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1179.9009506998118,,Knowledge_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1181.3133627998177,,Knowledge_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run2
ESQ,1181.3154485998675,,Self_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1184.3311102997977,,Self_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1184.3335197998676,,Images_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1189.049200499896,,Images_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1189.0522262998857,,Past_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1190.431405399926,,Past_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1190.4362221998163,,Intrusive_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1193.8319368998054,,Intrusive_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1193.83409319981,,Problem_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1195.2318794999737,,Problem_response,2.0,Movie Task,ignore,17,,Marker Started at 2,Movie Task-run2
Movie prompt 2 run2.mp4,1195.2648946999107,,,,Movie Task,ignore,17,,0,
ESQ,1387.9044527998194,,Problem_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1389.5316499997862,,Problem_response,5.0,Movie Task,ignore,17,,Marker Started at 5,Movie Task-run2
ESQ,1389.5340906998608,,Future_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1390.9328490998596,,Future_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1390.9352810999844,,Intrusive_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1392.5826441999525,,Intrusive_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1392.5849915998988,,Knowledge_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1393.9995290997904,,Knowledge_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1394.001694599865,,Words_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1395.3657707998063,,Words_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1395.3689517998137,,Emotion_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1396.6496402998455,,Emotion_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1396.6518371999264,,Detailed_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1398.133047199808,,Detailed_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1398.13543379982,,Self_start,,Movie Task,ignore,17,,,Movie Task-run2
