METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
3502809,7,14,3,064
Time after setup,16.55412859993521
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-6
EXPERIMENT DATA:,Movie Task
Start Time,36.40073489991482
ESQ,254.82830259995535,,Words_response,9.499999999999986,Movie Task,1,7,,Marker Started at 3,Movie Task-c4
ESQ,263.55113869998604,,Sounds_response,1.0,Movie Task,1,7,,Marker Started at 8,Movie Task-c4
ESQ,270.4074475999223,,Self_response,2.0,Movie Task,1,7,,Marker Started at 2,Movie Task-c4
ESQ,276.82963629998267,,Distracting_response,5.800000000000008,Movie Task,1,7,,Marker Started at 8,Movie Task-c4
ESQ,282.75036389997695,,Other_response,5.699999999999999,Movie Task,1,7,,Marker Started at 3,Movie Task-c4
ESQ,289.6395721998997,,Images_response,8.899999999999988,Movie Task,1,7,,Marker Started at 4,Movie Task-c4
ESQ,295.41049479995854,,Deliberate_response,7.0,Movie Task,1,7,,Marker Started at 7,Movie Task-c4
ESQ,303.6165956999175,,Focus_response,5.900000000000011,Movie Task,1,7,,Marker Started at 9,Movie Task-c4
ESQ,309.25366889999714,,Problem_response,1.5999999999999983,Movie Task,1,7,,Marker Started at 4,Movie Task-c4
ESQ,316.0767611999763,,Future_response,5.500000000000005,Movie Task,1,7,,Marker Started at 7,Movie Task-c4
ESQ,320.1297578999074,,Absorption_response,9.0,Movie Task,1,7,,Marker Started at 9,Movie Task-c4
ESQ,325.6681141000008,,Intrusive_response,4.400000000000003,Movie Task,1,7,,Marker Started at 6,Movie Task-c4
ESQ,332.039805999957,,Past_response,2.200000000000008,Movie Task,1,7,,Marker Started at 8,Movie Task-c4
ESQ,337.54365239990875,,Detailed_response,6.599999999999996,Movie Task,1,7,,Marker Started at 3,Movie Task-c4
ESQ,342.8814466999611,,Knowledge_response,1.6999999999999984,Movie Task,1,7,,Marker Started at 4,Movie Task-c4
ESQ,350.3036447999766,,Emotion_response,5.600000000000016,Movie Task,1,7,,Marker Started at 10,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,350.3215615999652,,,,,,,,,
ESQ,473.9698024999816,,Focus_response,1.9999999999999991,Movie Task,1,7,,Marker Started at 3,Movie Task-c4
ESQ,482.64368509990163,,Deliberate_response,8.49999999999999,Movie Task,1,7,,Marker Started at 2,Movie Task-c4
ESQ,491.31774779991247,,Knowledge_response,3.999999999999999,Movie Task,1,7,,Marker Started at 5,Movie Task-c4
ESQ,497.08889329992235,,Intrusive_response,3.0000000000000053,Movie Task,1,7,,Marker Started at 7,Movie Task-c4
ESQ,501.70943159994204,,Absorption_response,8.89999999999999,Movie Task,1,7,,Marker Started at 6,Movie Task-c4
ESQ,512.5178206999553,,Future_response,7.3000000000000025,Movie Task,1,7,,Marker Started at 8,Movie Task-c4
ESQ,520.6903354999376,,Distracting_response,3.000000000000016,Movie Task,1,7,,Marker Started at 10,Movie Task-c4
ESQ,526.828730499954,,Past_response,3.0,Movie Task,1,7,,Marker Started at 3,Movie Task-c4
ESQ,532.1336212999886,,Emotion_response,3.7000000000000166,Movie Task,1,7,,Marker Started at 10,Movie Task-c4
ESQ,541.3404110999545,,Other_response,4.300000000000002,Movie Task,1,7,,Marker Started at 10,Movie Task-c4
ESQ,547.7781082999427,,Images_response,4.9,Movie Task,1,7,,Marker Started at 5,Movie Task-c4
ESQ,551.8820221999194,,Problem_response,2.0,Movie Task,1,7,,Marker Started at 2,Movie Task-c4
ESQ,555.6676780999405,,Detailed_response,8.399999999999995,Movie Task,1,7,,Marker Started at 7,Movie Task-c4
ESQ,562.4742885999149,,Sounds_response,1.0,Movie Task,1,7,,Marker Started at 8,Movie Task-c4
ESQ,567.9938485999592,,Self_response,3.5000000000000164,Movie Task,1,7,,Marker Started at 10,Movie Task-c4
ESQ,572.8642594999401,,Words_response,9.499999999999986,Movie Task,1,7,,Marker Started at 3,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,572.8823351999745,,,,,,,,,
ESQ,724.3037778999424,,Deliberate_response,2.000000000000015,Movie Task,1,7,,Marker Started at 10,Movie Task-c4
ESQ,734.1609356999397,,Knowledge_response,4.40000000000001,Movie Task,1,7,,Marker Started at 8,Movie Task-c4
ESQ,738.8137864999007,,Distracting_response,6.7999999999999945,Movie Task,1,7,,Marker Started at 4,Movie Task-c4
ESQ,747.0538467000006,,Future_response,4.300000000000002,Movie Task,1,7,,Marker Started at 10,Movie Task-c4
ESQ,751.2069572999608,,Problem_response,1.7999999999999976,Movie Task,1,7,,Marker Started at 5,Movie Task-c4
ESQ,758.4301856999518,,Absorption_response,5.200000000000003,Movie Task,1,7,,Marker Started at 6,Movie Task-c4
ESQ,764.2681389999343,,Self_response,7.0,Movie Task,1,7,,Marker Started at 7,Movie Task-c4
ESQ,768.3039425999159,,Words_response,7.199999999999995,Movie Task,1,7,,Marker Started at 2,Movie Task-c4
ESQ,771.8577454999322,,Images_response,8.29999999999999,Movie Task,1,7,,Marker Started at 4,Movie Task-c4
ESQ,777.8790874999249,,Focus_response,8.399999999999995,Movie Task,1,7,,Marker Started at 7,Movie Task-c4
ESQ,782.5659063999774,,Sounds_response,1.0,Movie Task,1,7,,Marker Started at 7,Movie Task-c4
ESQ,788.4206399999093,,Past_response,5.000000000000002,Movie Task,1,7,,Marker Started at 3,Movie Task-c4
ESQ,793.4416028999258,,Emotion_response,5.300000000000002,Movie Task,1,7,,Marker Started at 2,Movie Task-c4
ESQ,797.5438751999754,,Other_response,5.600000000000005,Movie Task,1,7,,Marker Started at 7,Movie Task-c4
ESQ,801.2638760999544,,Detailed_response,8.0,Movie Task,1,7,,Marker Started at 8,Movie Task-c4
ESQ,805.5667558999266,,Intrusive_response,7.299999999999992,Movie Task,1,7,,Marker Started at 5,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,805.5847287999932,,,,,,,,,
ESQ,910.3179763999069,,Intrusive_response,8.29999999999999,Movie Task,1,7,,Marker Started at 2,Movie Task-c4
ESQ,914.4555896999082,,Detailed_response,1.7999999999999994,Movie Task,1,7,,Marker Started at 3,Movie Task-c4
ESQ,919.7770999999484,,Words_response,9.399999999999988,Movie Task,1,7,,Marker Started at 6,Movie Task-c4
ESQ,924.479331499897,,Other_response,8.59999999999999,Movie Task,1,7,,Marker Started at 6,Movie Task-c4
ESQ,930.4508766999934,,Knowledge_response,7.799999999999992,Movie Task,1,7,,Marker Started at 3,Movie Task-c4
ESQ,934.2870141000021,,Deliberate_response,2.0,Movie Task,1,7,,Marker Started at 2,Movie Task-c4
ESQ,939.4419191000052,,Emotion_response,8.79999999999999,Movie Task,1,7,,Marker Started at 6,Movie Task-c4
ESQ,944.9469984999159,,Past_response,8.400000000000006,Movie Task,1,7,,Marker Started at 10,Movie Task-c4
ESQ,948.9491682999069,,Absorption_response,8.399999999999995,Movie Task,1,7,,Marker Started at 7,Movie Task-c4
