METADATA:,,,,,,,,,,
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject,,,,,,
432034,13,5,12,Subject049,,,,,,
Time after setup,26.1563567,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,67.726156,,,,,,,,,
Movie Task Start,67.7261916,,,,Movie Task,1,13,,,
Movie Init,87.9279733,,,,Movie Task,1,13,,,
Movie Start,87.9478591,,,,Movie Task,1,13,,lms.mp4,
ESQ,233.1074778,,Problem_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,246.0413334,,Problem_response,1,Movie Task,1,13,,Marker Started at 3,Movie Task-lms
ESQ,246.0418262,,Focus_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,252.2966963,,Focus_response,1.1,Movie Task,1,13,,Marker Started at 2,Movie Task-lms
ESQ,252.2981361,,Intrusive_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,258.7184609,,Intrusive_response,1.5,Movie Task,1,13,,Marker Started at 5,Movie Task-lms
ESQ,258.7201101,,Sounds_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,263.8559418,,Sounds_response,1,Movie Task,1,13,,Marker Started at 2,Movie Task-lms
ESQ,263.8570372,,Other_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,270.0114058,,Other_response,6,Movie Task,1,13,,Marker Started at 8,Movie Task-lms
ESQ,270.0131803,,Future_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,275.4316304,,Future_response,3.5,Movie Task,1,13,,Marker Started at 9,Movie Task-lms
ESQ,275.4332782,,Words_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,285.6565842,,Words_response,9.5,Movie Task,1,13,,Marker Started at 4,Movie Task-lms
ESQ,285.6570679,,Images_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,289.9267238,,Images_response,10,Movie Task,1,13,,Marker Started at 2,Movie Task-lms
ESQ,289.9275395,,Self_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,293.1126159,,Self_response,1,Movie Task,1,13,,Marker Started at 3,Movie Task-lms
ESQ,293.113068,,Absorption_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,299.0015525,,Absorption_response,2.1,Movie Task,1,13,,Marker Started at 6,Movie Task-lms
ESQ,299.002876,,Deliberate_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,304.1053293,,Deliberate_response,6.4,Movie Task,1,13,,Marker Started at 2,Movie Task-lms
ESQ,304.1072873,,Knowledge_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,311.1444687,,Knowledge_response,1,Movie Task,1,13,,Marker Started at 7,Movie Task-lms
ESQ,311.1460768,,Past_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,321.7515347,,Past_response,1,Movie Task,1,13,,Marker Started at 9,Movie Task-lms
ESQ,321.7532715,,Detailed_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,332.8276641,,Detailed_response,5.2,Movie Task,1,13,,Marker Started at 2,Movie Task-lms
ESQ,332.8289924,,Emotion_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,340.4667406,,Emotion_response,8.1,Movie Task,1,13,,Marker Started at 10,Movie Task-lms
ESQ,340.4683983,,Distracting_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,347.6895119,,Distracting_response,1,Movie Task,1,13,,Marker Started at 4,Movie Task-lms
Movie prompt 1 lms.mp4,347.7075788,,,,Movie Task,1,13,,0,
ESQ,460.1759471,,Images_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,469.4194511,,Images_response,10,Movie Task,1,13,,Marker Started at 7,Movie Task-lms
