METADATA:
Experiment Seed,Subject
7301530,Enter Name Here
Time after setup,369.3838312000735
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,372.8652326000156
Movie Task Start,372.86535590002313,,,,Movie Task,1,Enter Name Here,,,
Movie Init,373.30028030008543,,,,Movie Task,1,Enter Name Here,,,
Movie Start,373.3078075000085,,,,Movie Task,1,Enter Name Here,,summer.mp4,
