METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
1785002,13,7,4,subject011
Time after setup,13.734295500005828
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,24.41628010000568
Movie Task Start,24.416321199998492,,,,Movie Task,1,13,,,
Movie Init,39.520917500020005,,,,Movie Task,1,13,,,
Movie Start,39.54128440000932,,,,Movie Task,1,13,,lms.mp4,
ESQ,229.89652850001585,,Problem_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,244.93008960000589,,Problem_response,3.6000000000000094,Movie Task,1,13,,Marker Started at 8,Movie Task-lms
ESQ,244.9309198000119,,Sounds_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,255.32301059999736,,Sounds_response,8.200000000000003,Movie Task,1,13,,Marker Started at 9,Movie Task-lms
ESQ,255.3247274000023,,Distracting_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,265.98010740001337,,Distracting_response,2.3000000000000003,Movie Task,1,13,,Marker Started at 2,Movie Task-lms
ESQ,265.98193150002044,,Words_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,272.035827100015,,Words_response,8.499999999999995,Movie Task,1,13,,Marker Started at 7,Movie Task-lms
ESQ,272.0376099999994,,Past_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,278.20751130001736,,Past_response,7.500000000000005,Movie Task,1,13,,Marker Started at 9,Movie Task-lms
ESQ,278.2093103000079,,Images_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,286.81441190000623,,Images_response,4.500000000000002,Movie Task,1,13,,Marker Started at 3,Movie Task-lms
ESQ,286.8148580999987,,Knowledge_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,298.43918780001695,,Knowledge_response,6.999999999999994,Movie Task,1,13,,Marker Started at 4,Movie Task-lms
ESQ,298.4396519000002,,Self_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,304.27807630001917,,Self_response,6.799999999999996,Movie Task,1,13,,Marker Started at 2,Movie Task-lms
ESQ,304.2796020999958,,Absorption_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,309.34893500001635,,Absorption_response,5.300000000000001,Movie Task,1,13,,Marker Started at 3,Movie Task-lms
ESQ,309.34938520001015,,Focus_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,314.88647080000374,,Focus_response,1.800000000000008,Movie Task,1,13,,Marker Started at 8,Movie Task-lms
ESQ,314.88692770001944,,Intrusive_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,320.82509100000607,,Intrusive_response,4.900000000000002,Movie Task,1,13,,Marker Started at 3,Movie Task-lms
ESQ,320.82666260001133,,Deliberate_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,325.81113200000254,,Deliberate_response,5.599999999999999,Movie Task,1,13,,Marker Started at 4,Movie Task-lms
ESQ,325.8129269000201,,Future_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,335.12006110002403,,Future_response,4.700000000000006,Movie Task,1,13,,Marker Started at 7,Movie Task-lms
ESQ,335.12183250000817,,Detailed_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,339.32208460001857,,Detailed_response,6.499999999999996,Movie Task,1,13,,Marker Started at 4,Movie Task-lms
ESQ,339.32415890000993,,Emotion_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,344.7273064000183,,Emotion_response,3.100000000000016,Movie Task,1,13,,Marker Started at 10,Movie Task-lms
ESQ,344.7290922999964,,Other_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,347.76294939999934,,Other_response,7.299999999999992,Movie Task,1,13,,Marker Started at 5,Movie Task-lms
Movie prompt 1 lms.mp4,347.7800198000041,,,,Movie Task,1,13,,0,
ESQ,459.8509573000192,,Images_start,,Movie Task,1,13,,,Movie Task-lms
ESQ,467.64193120002165,,Images_response,4.7000000000000135,Movie Task,1,13,,Marker Started at 9,Movie Task-lms
ESQ,467.64259329999913,,Words_start,,Movie Task,1,13,,,Movie Task-lms
